,ch4 x=80m,ch7 x=50m,ch18 x=40m,ch10 x=30.8m,ch20 x=20m,ch23 x=5m
t(s),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm)
0,-0.005,-0.015,-0.003,0.002,0,-0.015
0.01,-0.005,-0.025,-0.013,0.002,0,-0.015
0.02,-0.005,-0.015,-0.003,0.002,0,-0.015
0.03,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
0.04,-0.005,-0.025,-0.003,0.002,0,-0.015
0.05,-0.015,-0.025,-0.013,0.002,0,-0.005
0.06,-0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.07,-0.005,-0.025,-0.013,0.002,0,-0.005
0.08,0.005,-0.015,-0.003,0.002,0,-0.005
0.09,-0.005,-0.025,-0.013,0.002,0,-0.005
0.1,-0.005,-0.015,-0.003,-0.008,0,-0.015
0.11,-0.015,-0.025,-0.013,0.002,0,-0.005
0.12,0.005,-0.015,-0.003,0.002,0,-0.015
0.13,-0.015,-0.025,-0.013,0.002,0,-0.015
0.14,0.005,-0.015,-0.003,0.002,0,-0.015
0.15,-0.015,-0.025,-0.013,0.002,0,-0.015
0.16,0.005,-0.015,-0.003,0.002,0,-0.015
0.17,-0.005,-0.025,-0.013,0.002,0.01,-0.015
0.18,0.005,-0.015,-0.013,0.002,0,-0.015
0.19,-0.005,-0.025,-0.013,0.002,0,-0.015
0.2,0.005,-0.015,-0.013,0.002,0,-0.015
0.21,-0.005,-0.025,-0.013,0.002,0,-0.015
0.22,0.005,-0.015,-0.013,0.002,0,-0.015
0.23,-0.005,-0.025,-0.013,0.012,0,-0.005
0.24,0.005,-0.015,-0.003,0.012,0,-0.015
0.25,-0.005,-0.025,-0.013,0.012,0,-0.005
0.26,0.005,-0.015,-0.003,0.002,0,-0.015
0.27,-0.005,-0.025,-0.013,0.002,0,-0.015
0.28,0.005,-0.015,-0.003,0.002,0,-0.015
0.29,-0.005,-0.025,-0.013,0.002,0.01,-0.015
0.3,0.005,-0.015,-0.003,0.002,0,-0.015
0.31,-0.005,-0.025,-0.013,0.002,0,-0.015
0.32,0.005,-0.015,-0.003,0.002,0,-0.015
0.33,-0.005,-0.025,-0.013,0.002,0.01,-0.015
0.34,0.005,-0.015,-0.003,0.002,0,-0.015
0.35,-0.005,-0.025,-0.013,0.002,0,-0.015
0.36,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.37,-0.005,-0.025,-0.013,0.002,0,-0.015
0.38,0.005,-0.015,-0.003,0.002,0,-0.015
0.39,-0.005,-0.015,-0.013,0.002,0,-0.005
0.4,0.005,-0.015,-0.003,0.002,0,-0.015
0.41,0.005,-0.025,-0.013,0.002,0,-0.005
0.42,0.005,-0.005,-0.003,-0.008,0,-0.015
0.43,-0.005,-0.025,-0.013,0.002,0,-0.015
0.44,0.005,-0.015,-0.003,0.002,0,-0.015
0.45,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
0.46,0.005,-0.015,-0.003,0.002,0,-0.015
0.47,-0.005,-0.025,-0.013,0.002,0,-0.015
0.48,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.49,-0.005,-0.025,-0.013,0.002,0,-0.015
0.5,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.51,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
0.52,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.53,0.005,-0.015,-0.013,0.002,-0.01,-0.015
0.54,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.55,0.005,-0.015,-0.013,0.002,0,-0.015
0.56,0.005,-0.005,-0.003,0.002,0,-0.015
0.57,0.005,-0.025,-0.013,0.002,0,-0.015
0.58,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.59,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
0.6,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.61,-0.005,-0.025,-0.013,0.002,0,-0.015
0.62,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.63,-0.005,-0.025,-0.013,0.012,0,-0.015
0.64,0.005,-0.005,-0.003,0.002,0,-0.015
0.65,-0.005,-0.025,-0.013,0.002,0,-0.015
0.66,0.005,-0.015,-0.013,0.002,-0.01,-0.015
0.67,-0.005,-0.025,-0.013,0.002,0,-0.015
0.68,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.69,0.005,-0.025,-0.013,0.012,0,-0.015
0.7,0.015,-0.015,-0.003,0.002,0,-0.015
0.71,-0.005,-0.025,-0.003,0.002,0,-0.005
0.72,0.015,-0.025,-0.003,0.002,-0.01,-0.015
0.73,-0.005,-0.025,-0.013,0.012,0,-0.005
0.74,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.75,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
0.76,0.005,-0.015,-0.003,-0.008,0,-0.015
0.77,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
0.78,0.005,-0.005,-0.003,-0.008,0,-0.015
0.79,-0.005,-0.025,-0.013,0.002,0,-0.015
0.8,0.005,-0.025,-0.003,-0.008,0,-0.015
0.81,-0.005,-0.025,-0.013,0.012,0,-0.015
0.82,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.83,-0.015,-0.025,-0.013,0.002,0,-0.015
