		Fdbk3abc.txt
Wave-Paddle Trajectories
Benchmark Problem 3
Runup of Solitary Waves on a Vertical Wall
Feedback in cm for Cases A, B and C

Time       Case A     Case B     Case C     
258.00     -14.51     -14.48     -20.30     
258.05     -14.51     -14.48     -20.30     
258.10     -14.51     -14.48     -20.30     
258.15     -14.51     -14.48     -20.30     
258.20     -14.51     -14.48     -20.30     
258.25     -14.51     -14.48     -20.30     
258.30     -14.51     -14.48     -20.30     
258.35     -14.51     -14.48     -20.30     
258.40     -14.51     -14.48     -20.30     
258.45     -14.51     -14.48     -20.30     
258.50     -14.51     -14.48     -20.30     
258.55     -14.51     -14.48     -20.30     
258.60     -14.51     -14.48     -20.30     
258.65     -14.51     -14.48     -20.30     
258.70     -14.51     -14.48     -20.30     
258.75     -14.51     -14.48     -20.30     
258.80     -14.51     -14.48     -20.30     
258.85     -14.51     -14.48     -20.30     
258.90     -14.51     -14.48     -20.30     
258.95     -14.51     -14.48     -20.30     
259.00     -14.51     -14.48     -20.30     
259.05     -14.51     -14.48     -20.27     
259.10     -14.51     -14.51     -20.30     
259.15     -14.51     -14.51     -20.30     
259.20     -14.48     -14.48     -20.30     
259.25     -14.48     -14.51     -20.30     
259.30     -14.48     -14.51     -20.30     
259.35     -14.48     -14.51     -20.30     
259.40     -14.48     -14.51     -20.27     
259.45     -14.48     -14.51     -20.27     
259.50     -14.51     -14.51     -20.27     
259.55     -14.48     -14.48     -20.27     
259.60     -14.51     -14.48     -20.30     
259.65     -14.51     -14.48     -20.27     
259.70     -14.51     -14.48     -20.27     
259.75     -14.51     -14.48     -20.27     
259.80     -14.51     -14.48     -20.27     
259.85     -14.51     -14.48     -20.27     
259.90     -14.51     -14.48     -20.27     
259.95     -14.51     -14.48     -20.27     
260.00     -14.51     -14.48     -20.27     
260.05     -14.51     -14.48     -20.27     
260.10     -14.51     -14.48     -20.27     
260.15     -14.51     -14.48     -20.27     
260.20     -14.51     -14.48     -20.27     
260.25     -14.51     -14.48     -20.21     
260.30     -14.51     -14.48     -20.06     
260.35     -14.51     -14.45     -19.84     
260.40     -14.51     -14.42     -19.42     
260.45     -14.51     -14.36     -18.65     
260.50     -14.51     -14.30     -17.62     
260.55     -14.48     -14.20     -15.94     
260.60     -14.48     -14.05     -13.75     
260.65     -14.48     -13.84     -11.09     
260.70     -14.48     -13.53      -8.08     
260.75     -14.48     -13.14      -4.88     
260.80     -14.48     -12.59      -1.52     
260.85     -14.48     -11.95       1.83     
260.90     -14.45     -11.06       5.24     
260.95     -14.45     -10.03       8.60     
261.00     -14.42      -8.78      11.89     
261.05     -14.42      -7.38      14.51     
261.10     -14.42      -5.73      16.25     
261.15     -14.39      -4.02      17.34     
261.20     -14.39      -2.26      18.11     
261.25     -14.36      -0.43      18.47     
261.30     -14.33       1.34      18.68     
261.35     -14.33       2.99      18.81     
261.40     -14.30       4.54      18.87     
261.45     -14.23       5.94      18.93     
261.50     -14.20       7.10      18.96     
261.55     -14.17       8.14      18.96     
261.60     -14.14       8.90      18.96     
261.65     -14.05       9.57      18.96     
261.70     -14.02      10.00      18.93     
261.75     -13.93      10.39      18.93     
261.80     -13.84      10.64      18.93     
261.85     -13.75      10.82      18.96     
261.90     -13.66      10.94      18.93     
261.95     -13.53      11.03      18.93     
262.00     -13.38      11.09      18.93     
262.05     -13.26      11.13      18.93     
262.10     -13.11      11.16      18.93     
262.15     -12.89      11.19      18.93     
262.20     -12.71      11.22      18.93     
262.25     -12.50      11.22      18.93     
262.30     -12.28      11.22      18.93     
262.35     -12.07      11.22      18.93     
262.40     -11.80      11.22      18.93     
262.45     -11.52      11.22      18.93     
262.50     -11.22      11.22      18.93     
262.55     -10.88      11.22      18.96     
262.60     -10.61      11.22      18.93     
262.65     -10.33      11.22      18.93     
262.70     -10.00      11.22      18.93     
262.75      -9.63      11.22      18.96     
262.80      -9.30      11.22      18.96     
262.85      -8.96      11.22      18.96     
262.90      -8.63      11.22      18.96     
262.95      -8.29      11.22      18.96     
