				Ts3a.txt
Tsunami Benchmark Problem #3, Runup of Solitary Waves on a Vertical Wall, Case A

30 sec of data from 265 to 295 sec, Gages 4-10, Units = Meters

Time       G4_M         G5_M        G6_M         G7_M         G8_M         G9_M        G10_M
     
265.05    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.10    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.15    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.20    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.25    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.30    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000914    
265.35    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.40    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.45    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.50    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.55    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.60    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.65    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.70    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.75    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.80    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000914    
265.85    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.90    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
265.95    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.00    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.05    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.10    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.15    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.20    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000914    
266.25    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.30    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000914    
266.35    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.40    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.45    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.50    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.55    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.60    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.65    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.70    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.75    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.80    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.85    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.90    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
266.95    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.00    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
267.05    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.10    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000914    
267.15    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.20    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.25    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.30    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.35    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.40    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
267.45    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000610    0.000610    
267.50    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.55    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.60    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.65    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
267.70    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.75    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.80    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.85    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
267.90    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
267.95    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.00    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.05    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.10    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.15    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.20    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.25    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.30    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.35    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.40    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.45    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.50    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.55    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.60    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.65    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.70    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.75    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.80    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.85    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.90    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
268.95    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.00    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.05    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.10    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.15    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.20    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.25    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.30    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.35    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.40    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.45    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.50    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.55    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.60    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.65    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.70    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.75    0.000000    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
269.80    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.85    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.90    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
269.95    0.000000    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.00    0.000305    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.05    0.000305    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.10    0.000305    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.15    0.000305    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.20    0.000305    -0.000305    0.000000    -0.000914    -0.000305    -0.000610    0.000610    
270.25    0.000305    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.30    0.000305    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.35    0.000610    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.40    0.000610    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.45    0.000610    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.50    0.000914    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.55    0.000914    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
270.60    0.001219    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.65    0.001524    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.70    0.001829    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.75    0.002134    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.80    0.002743    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.85    0.003048    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.90    0.003658    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
270.95    0.004267    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.00    0.004572    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.05    0.005182    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.10    0.005486    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.15    0.006401    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.20    0.007010    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.25    0.007315    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.30    0.007620    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.35    0.007925    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.40    0.007925    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.45    0.007925    -0.000305    0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.50    0.008230    -0.000305   -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.55    0.008230    0.000000     0.000000    -0.000914    -0.000305    -0.000305    0.000610    
271.60    0.007925    0.000000    -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.65    0.007925    0.000305    -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.70    0.007925    0.000305    -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.75    0.007925    0.000305    -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.80    0.007620    0.000305    -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.85    0.007315    0.000610     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
271.90    0.007010    0.000914    -0.000305    -0.000914    -0.000305    -0.000305    0.000610    
271.95    0.006706    0.000914     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.00    0.006096    0.001219     0.000000    -0.000914    -0.000305    -0.000305    0.000610    
272.05    0.005486    0.001524     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.10    0.005182    0.001524     0.000000    -0.000914    -0.000305    -0.000305    0.000610    
272.15    0.004572    0.001829     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.20    0.004267    0.002134     0.000000    -0.000914    -0.000305    -0.000305    0.000610    
272.25    0.003658    0.002438     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.30    0.003353    0.002743     0.000000    -0.000914    -0.000305    -0.000305    0.000610    
272.35    0.003048    0.003048    -0.000305    -0.000914    -0.000305    -0.000610    0.000610    
272.40    0.002743    0.003658     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.45    0.002438    0.003962     0.000000    -0.000914    -0.000305    -0.000305    0.000610    
272.50    0.002134    0.004572     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.55    0.001829    0.004877     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.60    0.001524    0.005182     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.65    0.001219    0.005791     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.70    0.001219    0.006096     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.75    0.001219    0.006706     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.80    0.000914    0.007010     0.000000    -0.000914    -0.000305    -0.000305    0.000610    
272.85    0.000914    0.007620     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.90    0.000610    0.007925     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
272.95    0.000610    0.008230     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
273.00    0.000610    0.008230     0.000000    -0.000914    -0.000305    -0.000610    0.000610    
273.05    0.000305    0.008534     0.000305    -0.000914    -0.000305    -0.000610    0.000610    
273.10    0.000305    0.008534     0.000305    -0.000914    -0.000305    -0.000305    0.000610    
273.15    0.000305    0.008534     0.000305    -0.000914    -0.000305    -0.000610    0.000610    
273.20    0.000305    0.008839     0.000305    -0.000914    -0.000305    -0.000610    0.000610    
273.25    0.000305    0.008534     0.000305    -0.000914    -0.000305    -0.000610    0.000610    
273.30    0.000305    0.008534     0.000610    -0.000914    -0.000305    -0.000305    0.000610    
273.35    0.000000    0.008534     0.000914    -0.000914    -0.000305    -0.000610    0.000610    
273.40    0.000000    0.008230     0.001219    -0.000914    -0.000305    -0.000305    0.000610    
273.45    0.000000    0.008230     0.001524    -0.000914    -0.000305    -0.000610    0.000610    
273.50    0.000000    0.007620     0.001524    -0.000914    -0.000305    -0.000610    0.000610    
273.55    0.000000    0.007315     0.001829    -0.000914    -0.000305    -0.000610    0.000610    
273.60    0.000000    0.006706     0.002134    -0.000914    -0.000305    -0.000610    0.000610    
273.65    0.000000    0.006401     0.002134    -0.000914    -0.000305    -0.000610    0.000610    
