			Ts3c.txt
Benchmark Problem #3, Runup of Solitary Waves on a Vertical Wall, Case C
30 sec of data from 265 to 295 sec, Gages 4-10, Units = Meters

Time       G4_M        G5_M        G6_M        G7_M        G8_M        G9_M        G10_M

265.05    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.10    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.15    0.001524    0.001219    0.000914    0.000914    0.000610    0.001524    0.001524    
265.20    0.001524    0.001219    0.000914    0.000914    0.000610    0.001524    0.001524    
265.25    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001524    
265.30    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.35    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.40    0.001524    0.001219    0.000610    0.000914    0.000610    0.001219    0.001219    
265.45    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.50    0.001524    0.001219    0.000610    0.000914    0.000610    0.001219    0.001219    
265.55    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001524    
265.60    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.65    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.70    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.75    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.80    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.85    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.90    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
265.95    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.00    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001524    
266.05    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001524    
266.10    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.15    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.20    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.25    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.30    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.35    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.40    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001524    
266.45    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.50    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.55    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.60    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.65    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001524    
266.70    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001524    
266.75    0.001524    0.001219    0.000610    0.000914    0.000610    0.001524    0.001219    
266.80    0.001524    0.001219    0.000914    0.000914    0.000610    0.001524    0.001219    
