# gauge_id= 2 location=( -0.9471000000E+02  0.2928000000E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   01 -0.2592000E+06  0.4691069E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.7633641E-07 -0.9613479E-07  0.1013000E+06
   01 -0.2592000E+06  0.4691069E+01  0.1122080E-13 -0.8620067E-14  0.2664535E-14 -0.7633671E-07 -0.9613517E-07  0.1013000E+06
   01 -0.2588919E+06  0.4691069E+01  0.1740120E-09  0.2983059E-10  0.5292922E-10 -0.8230304E-07 -0.1037122E-06  0.1013000E+06
   01 -0.2585838E+06  0.4691069E+01  0.3680330E-09  0.6562769E-10  0.1087095E-09 -0.8873280E-07 -0.1118826E-06  0.1013000E+06
   01 -0.2582757E+06  0.4691069E+01  0.5842650E-09  0.9656023E-10  0.1666347E-09 -0.9566175E-07 -0.1206925E-06  0.1013000E+06
   01 -0.2579676E+06  0.4691069E+01  0.8299790E-09  0.1060704E-09  0.2251781E-09 -0.1031284E-06 -0.1301915E-06  0.1013000E+06
   01 -0.2576595E+06  0.4691069E+01  0.1060403E-08  0.5722896E-10  0.2866880E-09 -0.1111741E-06 -0.1404331E-06  0.1013000E+06
   01 -0.2573514E+06  0.4691069E+01  0.1154700E-08 -0.3646855E-09  0.3461480E-09 -0.1198435E-06 -0.1514750E-06  0.1013000E+06
   01 -0.2570433E+06  0.4691069E+01  0.3982889E-09 -0.1568831E-08  0.4501146E-09 -0.1291847E-06 -0.1633793E-06  0.1013000E+06
   01 -0.2567352E+06  0.4691069E+01 -0.4882320E-08  0.4436483E-08  0.1557382E-08 -0.1392492E-06 -0.1762129E-06  0.1013000E+06
   01 -0.2564271E+06  0.4691069E+01 -0.2445259E-07  0.1349904E-06  0.1320919E-07 -0.1500926E-06 -0.1900476E-06  0.1013000E+06
   01 -0.2561190E+06  0.4691069E+01 -0.5639953E-07  0.1176371E-05  0.8827923E-07 -0.1617750E-06 -0.2049611E-06  0.1013000E+06
   01 -0.2558109E+06  0.4691069E+01 -0.8794872E-07  0.4454620E-05  0.3269310E-06 -0.1743606E-06 -0.2210367E-06  0.1013000E+06
   01 -0.2555028E+06  0.4691069E+01 -0.1630893E-06  0.9555830E-05  0.7259977E-06 -0.1879187E-06 -0.2383644E-06  0.1013000E+06
   01 -0.2551947E+06  0.4691070E+01 -0.9626412E-06  0.1048889E-04  0.9145252E-06 -0.2025240E-06 -0.2570410E-06  0.1013000E+06
   01 -0.2548867E+06  0.4691070E+01 -0.3911317E-05  0.1179296E-04  0.1278887E-05 -0.2182567E-06 -0.2771705E-06  0.1013000E+06
   01 -0.2545786E+06  0.4691071E+01 -0.1120935E-04  0.1254775E-04  0.1897860E-05 -0.2352032E-06 -0.2988652E-06  0.1013000E+06
   01 -0.2542705E+06  0.4691071E+01 -0.2529090E-04  0.3744374E-05  0.2210166E-05 -0.2534564E-06 -0.3222457E-06  0.1013000E+06
   01 -0.2539624E+06  0.4691070E+01 -0.4898727E-04 -0.2778082E-04  0.1320235E-05 -0.2731163E-06 -0.3474421E-06  0.1013000E+06
   01 -0.2536543E+06  0.4691067E+01 -0.8611196E-04 -0.1008210E-03 -0.2010868E-05 -0.2942903E-06 -0.3745941E-06  0.1013000E+06
   01 -0.2533462E+06  0.4691060E+01 -0.1427286E-03 -0.2362679E-03 -0.9057065E-05 -0.3170943E-06 -0.4038524E-06  0.1013000E+06
   01 -0.2530381E+06  0.4691048E+01 -0.2235817E-03 -0.4528664E-03 -0.2124445E-04 -0.3416525E-06 -0.4353790E-06  0.1013000E+06
   01 -0.2527300E+06  0.4691028E+01 -0.3300655E-03 -0.7681205E-03 -0.4040572E-04 -0.3680990E-06 -0.4693482E-06  0.1013000E+06
   01 -0.2524219E+06  0.4690998E+01 -0.4569572E-03 -0.1215227E-02 -0.7066110E-04 -0.3965777E-06 -0.5059476E-06  0.1013000E+06
   01 -0.2521138E+06  0.4690950E+01 -0.5238348E-03 -0.1776838E-02 -0.1192401E-03 -0.4272434E-06 -0.5453793E-06  0.1013000E+06
   01 -0.2518057E+06  0.4690882E+01 -0.5247694E-03 -0.2426639E-02 -0.1864849E-03 -0.4602627E-06 -0.5878605E-06  0.1013000E+06
   01 -0.2514976E+06  0.4690424E+01 -0.5719528E-03 -0.8706473E-02 -0.6448658E-03 -0.4958146E-06 -0.6336249E-06  0.1013000E+06
   01 -0.2511895E+06  0.4689410E+01 -0.7964618E-03 -0.2247818E-01 -0.1658419E-02 -0.5340918E-06 -0.6829241E-06  0.1013000E+06
