# gauge_id= 1 location=( -0.9000000000E+02  0.2500000000E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   01 -0.2592000E+06  0.3509637E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1013000E+06
   01 -0.2592000E+06  0.3509637E+04  0.1295803E-04 -0.3659910E-05 -0.9923497E-08 -0.7334933E-01 -0.1817436E+00  0.1012870E+06
   01 -0.2588919E+06  0.3509636E+04  0.3000903E+00 -0.7730783E-01 -0.7300023E-03 -0.7334959E-01 -0.1817442E+00  0.1012870E+06
   01 -0.2585838E+06  0.3509635E+04  0.7065002E+00 -0.1745087E+00 -0.2391518E-02 -0.7844169E-01 -0.1947735E+00  0.1012861E+06
   01 -0.2582757E+06  0.3509633E+04  0.1190190E+01 -0.2468686E+00 -0.4398217E-02 -0.8384716E-01 -0.2086330E+00  0.1012852E+06
   01 -0.2579676E+06  0.3509631E+04  0.1612062E+01 -0.2754645E+00 -0.5898641E-02 -0.8958004E-01 -0.2233617E+00  0.1012843E+06
   01 -0.2576595E+06  0.3509630E+04  0.2040186E+01 -0.2458559E+00 -0.7347733E-02 -0.9565433E-01 -0.2389989E+00  0.1012832E+06
   01 -0.2573514E+06  0.3509628E+04  0.2537280E+01 -0.1680044E+00 -0.9053421E-02 -0.1020839E+00 -0.2555834E+00  0.1012821E+06
   01 -0.2570433E+06  0.3509626E+04  0.3128263E+01 -0.5697096E-01 -0.1093124E-01 -0.1088823E+00 -0.2731536E+00  0.1012810E+06
   01 -0.2567352E+06  0.3509623E+04  0.3922941E+01  0.8156539E-01 -0.1381634E-01 -0.1160628E+00 -0.2917470E+00  0.1012798E+06
   01 -0.2564271E+06  0.3509620E+04  0.4786677E+01  0.2327727E+00 -0.1684380E-01 -0.1236381E+00 -0.3114000E+00  0.1012785E+06
   01 -0.2561190E+06  0.3509619E+04  0.5294055E+01  0.3976893E+00 -0.1769554E-01 -0.1316203E+00 -0.3321476E+00  0.1012772E+06
   01 -0.2558109E+06  0.3509620E+04  0.5444565E+01  0.5654567E+00 -0.1698491E-01 -0.1400206E+00 -0.3540227E+00  0.1012758E+06
   01 -0.2555028E+06  0.3509621E+04  0.5407107E+01  0.7046927E+00 -0.1558101E-01 -0.1488495E+00 -0.3770559E+00  0.1012743E+06
   01 -0.2551947E+06  0.3509623E+04  0.5235281E+01  0.7998491E+00 -0.1358368E-01 -0.1581161E+00 -0.4012754E+00  0.1012728E+06
   01 -0.2548867E+06  0.3509625E+04  0.5061205E+01  0.8725530E+00 -0.1217945E-01 -0.1678286E+00 -0.4267061E+00  0.1012712E+06
   01 -0.2545786E+06  0.3509626E+04  0.4914572E+01  0.9393358E+00 -0.1119086E-01 -0.1779935E+00 -0.4533692E+00  0.1012695E+06
   01 -0.2542705E+06  0.3509627E+04  0.4651616E+01  0.1012344E+01 -0.9499213E-02 -0.1886159E+00 -0.4812824E+00  0.1012678E+06
   01 -0.2539624E+06  0.3509629E+04  0.4331084E+01  0.1092020E+01 -0.7784748E-02 -0.1996992E+00 -0.5104590E+00  0.1012660E+06
   01 -0.2536543E+06  0.3509631E+04  0.3984187E+01  0.1179629E+01 -0.6144999E-02 -0.2112449E+00 -0.5409077E+00  0.1012641E+06
   01 -0.2533462E+06  0.3509633E+04  0.3505635E+01  0.1277173E+01 -0.3832811E-02 -0.2232525E+00 -0.5726323E+00  0.1012622E+06
   01 -0.2530381E+06  0.3509635E+04  0.3094493E+01  0.1381573E+01 -0.2155558E-02 -0.2357195E+00 -0.6056314E+00  0.1012602E+06
   01 -0.2527300E+06  0.3509636E+04  0.2803080E+01  0.1484257E+01 -0.1225882E-02 -0.2486412E+00 -0.6398985E+00  0.1012581E+06
   01 -0.2524219E+06  0.3509637E+04  0.2479131E+01  0.1601135E+01 -0.2605293E-04 -0.2620108E+00 -0.6754213E+00  0.1012559E+06
   01 -0.2521138E+06  0.3509637E+04  0.2291384E+01  0.1722560E+01  0.2823829E-03 -0.2758189E+00 -0.7121821E+00  0.1012537E+06
