# gauge_id= 1 location=( -0.8940740833E+02  0.2893238167E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   01 -0.8640000E+05  0.4372796E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.4584087E+01 -0.3377703E+01  0.1009113E+06
   01 -0.8639998E+05  0.4372796E+02  0.8383402E-06 -0.1318625E-05  0.1952802E-07 -0.4584090E+01 -0.3377705E+01  0.1009113E+06
   01 -0.8632349E+05  0.4372802E+02  0.4101635E-02 -0.6661952E-02  0.5862015E-04 -0.4599471E+01 -0.3387680E+01  0.1009102E+06
   01 -0.8624699E+05  0.4372805E+02  0.8446918E-02 -0.1351647E-01  0.8509335E-04 -0.4614852E+01 -0.3397655E+01  0.1009091E+06
   01 -0.8617049E+05  0.4372803E+02  0.1315919E-01 -0.2103319E-01  0.6347073E-04 -0.4630234E+01 -0.3407630E+01  0.1009080E+06
   01 -0.8609400E+05  0.4372795E+02  0.1838652E-01 -0.2931732E-01 -0.1479584E-04 -0.4645615E+01 -0.3417606E+01  0.1009068E+06
   01 -0.8601750E+05  0.4372780E+02  0.2430431E-01 -0.3848241E-01 -0.1596322E-03 -0.4660996E+01 -0.3427581E+01  0.1009057E+06
   01 -0.8594100E+05  0.4372758E+02  0.3108457E-01 -0.4866896E-01 -0.3820005E-03 -0.4676378E+01 -0.3437556E+01  0.1009046E+06
   01 -0.8586450E+05  0.4372727E+02  0.3884831E-01 -0.6002766E-01 -0.6931672E-03 -0.4691759E+01 -0.3447531E+01  0.1009035E+06
   01 -0.8578801E+05  0.4372686E+02  0.4760279E-01 -0.7270739E-01 -0.1101003E-02 -0.4707140E+01 -0.3457507E+01  0.1009024E+06
   01 -0.8571151E+05  0.4372635E+02  0.5740983E-01 -0.8686155E-01 -0.1615338E-02 -0.4722522E+01 -0.3467482E+01  0.1009012E+06
   01 -0.8563501E+05  0.4372572E+02  0.6835197E-01 -0.1026696E+00 -0.2245326E-02 -0.4737903E+01 -0.3477457E+01  0.1009001E+06
   01 -0.8555852E+05  0.4372496E+02  0.8051769E-01 -0.1202860E+00 -0.3002330E-02 -0.4753284E+01 -0.3487432E+01  0.1008990E+06
   01 -0.8548202E+05  0.4372406E+02  0.9401151E-01 -0.1399272E+00 -0.3900268E-02 -0.4768666E+01 -0.3497408E+01  0.1008979E+06
   01 -0.8540552E+05  0.4372301E+02  0.1090107E+00 -0.1618739E+00 -0.4955477E-02 -0.4784047E+01 -0.3507383E+01  0.1008967E+06
   01 -0.8532902E+05  0.4372178E+02  0.1256981E+00 -0.1863390E+00 -0.6182557E-02 -0.4799428E+01 -0.3517358E+01  0.1008956E+06
   01 -0.8525253E+05  0.4372036E+02  0.1441922E+00 -0.2134308E+00 -0.7598860E-02 -0.4814810E+01 -0.3527333E+01  0.1008945E+06
   01 -0.8517603E+05  0.4371876E+02  0.1643452E+00 -0.2433886E+00 -0.9202606E-02 -0.4830191E+01 -0.3537309E+01  0.1008934E+06
