AL, 18, 2012102118,   , BEST,   0, 143N,  774W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1008,  180, 150,  35,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 18, 2012102200,   , BEST,   0, 139N,  778W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1008,  180, 150,  35,   0,   L,   0,    ,   0,   0,     INVEST, S, 
AL, 18, 2012102206,   , BEST,   0, 135N,  782W,  25, 1003, LO,   0,    ,    0,    0,    0,    0, 1008,  225,  75,  35,   0,   L,   0,    ,   0,   0,     INVEST, M, 
AL, 18, 2012102212,   , BEST,   0, 131N,  786W,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1007,  250,  75,   0,   0,   L,   0,    ,   0,   0,   EIGHTEEN, M, 
AL, 18, 2012102218,   , BEST,   0, 127N,  787W,  35, 1000, TS,  34, NEQ,   50,   60,    0,    0, 1007,  250,  60,  45,   0,   L,   0,    ,   0,   0,   EIGHTEEN, M, 
AL, 18, 2012102300,   , BEST,   0, 126N,  784W,  40,  998, TS,  34, NEQ,   50,   60,    0,    0, 1007,  250,  40,  50,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   60,   60,    0,    0
AL, 18, 2012102306,   , BEST,   0, 129N,  781W,  40,  998, TS,  34, NEQ,   70,   80,    0,    0, 1005,  240,  60,  50,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   60,   45,    0,   45
AL, 18, 2012102312,   , BEST,   0, 134N,  779W,  40,  995, TS,  34, NEQ,  100,  100,    0,    0, 1005,  240,  60,  55,   0,   L,   0,    ,   0,   0,      SANDY, M, 
AL, 18, 2012102318,   , BEST,   0, 140N,  776W,  45,  993, TS,  34, NEQ,  100,  120,    0,    0, 1005,  240,  60,  55,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   75,   60,    0,   50
AL, 18, 2012102400,   , BEST,   0, 147N,  773W,  55,  990, TS,  34, NEQ,  100,  150,   40,   40, 1007,  300,  60,  60,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   90,   90,    0,   50
AL, 18, 2012102400,   , BEST,   0, 147N,  773W,  55,  990, TS,  50, NEQ,    0,   70,    0,    0, 1007,  300,  60,  60,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,   90,   90,    0,   50
AL, 18, 2012102406,   , BEST,   0, 156N,  771W,  60,  987, TS,  34, NEQ,  100,  150,   50,   50, 1007,  300,  45,  65,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,    0,    0
AL, 18, 2012102406,   , BEST,   0, 156N,  771W,  60,  987, TS,  50, NEQ,   50,   70,   20,   20, 1007,  300,  45,  65,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,    0,    0
AL, 18, 2012102412,   , BEST,   0, 166N,  769W,  65,  981, HU,  34, NEQ,  120,  160,   70,   70, 1006,  285,  40,  75,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,   45,  100
AL, 18, 2012102412,   , BEST,   0, 166N,  769W,  65,  981, HU,  50, NEQ,   50,   60,   40,   30, 1006,  285,  40,  75,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,   45,  100
AL, 18, 2012102412,   , BEST,   0, 166N,  769W,  65,  981, HU,  64, NEQ,   20,   20,    0,    0, 1006,  285,  40,  75,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  180,   45,  100
AL, 18, 2012102418,   , BEST,   0, 177N,  767W,  75,  972, HU,  34, NEQ,  150,  180,   70,   70, 1005,  290,  25,  85,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102418,   , BEST,   0, 177N,  767W,  75,  972, HU,  50, NEQ,   50,   60,   40,   40, 1005,  290,  25,  85,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102418,   , BEST,   0, 177N,  767W,  75,  972, HU,  64, NEQ,   25,   30,   20,   25, 1005,  290,  25,  85,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102419,   , BEST,   0, 179N,  766W,  75,  971, HU,  34, NEQ,  150,  180,   70,   70, 
AL, 18, 2012102419,   , BEST,   0, 179N,  766W,  75,  971, HU,  50, NEQ,   50,   60,   40,   40, 
AL, 18, 2012102419,   , BEST,   0, 179N,  766W,  75,  971, HU,  64, NEQ,   25,   30,   20,   25, 
AL, 18, 2012102500,   , BEST,   0, 189N,  764W,  85,  964, HU,  34, NEQ,  180,  240,   70,   70, 1005,  300,  15, 100,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102500,   , BEST,   0, 189N,  764W,  85,  964, HU,  50, NEQ,   50,   60,   40,   40, 1005,  300,  15, 100,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102500,   , BEST,   0, 189N,  764W,  85,  964, HU,  64, NEQ,   30,   30,   25,   25, 1005,  300,  15, 100,   0,   L,   0,    ,   0,   0,      SANDY, M, 12, NEQ,  180,  240,    0,   90
AL, 18, 2012102505, 25, BEST,   0, 200N,  760W, 100,  954, HU,  34, NEQ,  240,  240,   70,  120, 
AL, 18, 2012102505, 25, BEST,   0, 200N,  760W, 100,  954, HU,  50, NEQ,   50,   60,   40,   40, 
AL, 18, 2012102505, 25, BEST,   0, 200N,  760W, 100,  954, HU,  64, NEQ,   30,   30,   25,   25, 
AL, 18, 2012102506,   , BEST,   0, 201N,  760W, 100,  954, HU,  34, NEQ,  240,  240,   70,  120, 1005,  300,  10, 115,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  120,  300,  120,  120
AL, 18, 2012102506,   , BEST,   0, 201N,  760W, 100,  954, HU,  50, NEQ,   50,   60,   40,   40, 1005,  300,  10, 115,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  120,  300,  120,  120
AL, 18, 2012102506,   , BEST,   0, 201N,  760W, 100,  954, HU,  64, NEQ,   25,   20,   20,   20, 1005,  300,  10, 115,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  120,  300,  120,  120
AL, 18, 2012102509,   , BEST,   0, 209N,  757W,  95,  960, HU,  34, NEQ,  240,  240,   70,  180, 
AL, 18, 2012102509,   , BEST,   0, 209N,  757W,  95,  960, HU,  50, NEQ,   50,   60,   40,   40, 
AL, 18, 2012102509,   , BEST,   0, 209N,  757W,  95,  960, HU,  64, NEQ,   25,   20,   20,   20, 
AL, 18, 2012102512,   , BEST,   0, 217N,  755W,  95,  966, HU,  34, NEQ,  240,  240,   70,  240, 1005,  320,  20, 110,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  180,  360,  120,  180
AL, 18, 2012102512,   , BEST,   0, 217N,  755W,  95,  966, HU,  50, NEQ,   60,   60,   40,   50, 1005,  320,  20, 110,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  180,  360,  120,  180
AL, 18, 2012102512,   , BEST,   0, 217N,  755W,  95,  966, HU,  64, NEQ,   30,   30,   20,   20, 1005,  320,  20, 110,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  180,  360,  120,  180
AL, 18, 2012102518,   , BEST,   0, 233N,  753W,  90,  963, HU,  34, NEQ,  270,  270,  120,  270, 1005,  350,  20, 110,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  360,  270,    0,  180
AL, 18, 2012102518,   , BEST,   0, 233N,  753W,  90,  963, HU,  50, NEQ,   60,   60,   40,   50, 1005,  350,  20, 110,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  360,  270,    0,  180
AL, 18, 2012102518,   , BEST,   0, 233N,  753W,  90,  963, HU,  64, NEQ,   30,   30,   20,   20, 1005,  350,  20, 110,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  360,  270,    0,  180
AL, 18, 2012102600,   , BEST,   0, 248N,  759W,  75,  965, HU,  34, NEQ,  300,  300,  160,  270, 1007,  375,  20, 105,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  300,   60,  180
AL, 18, 2012102600,   , BEST,   0, 248N,  759W,  75,  965, HU,  50, NEQ,   70,   60,   40,   60, 1007,  375,  20, 105,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  300,   60,  180
AL, 18, 2012102600,   , BEST,   0, 248N,  759W,  75,  965, HU,  64, NEQ,   30,   30,   20,   30, 1007,  375,  20, 105,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  300,   60,  180
AL, 18, 2012102606,   , BEST,   0, 257N,  764W,  70,  968, HU,  34, NEQ,  300,  300,  160,  240, 1006,  380,  30,  90,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  360,  120,  300
AL, 18, 2012102606,   , BEST,   0, 257N,  764W,  70,  968, HU,  50, NEQ,   90,   70,   50,   70, 1006,  380,  30,  90,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  360,  120,  300
AL, 18, 2012102606,   , BEST,   0, 257N,  764W,  70,  968, HU,  64, NEQ,   30,   20,    0,   60, 1006,  380,  30,  90,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  360,  120,  300
AL, 18, 2012102612,   , BEST,   0, 264N,  769W,  65,  970, HU,  34, NEQ,  360,  240,  170,  240, 1008,  420,  70,  85,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  360,  180,  330
AL, 18, 2012102612,   , BEST,   0, 264N,  769W,  65,  970, HU,  50, NEQ,   90,   80,   90,  120, 1008,  420,  70,  85,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  360,  180,  330
AL, 18, 2012102612,   , BEST,   0, 264N,  769W,  65,  970, HU,  64, NEQ,    0,    0,    0,   90, 1008,  420,  70,  85,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  420,  360,  180,  330
AL, 18, 2012102618,   , BEST,   0, 270N,  772W,  65,  971, HU,  34, NEQ,  400,  210,  170,  240, 1008,  420,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  520,  270,  330
AL, 18, 2012102618,   , BEST,   0, 270N,  772W,  65,  971, HU,  50, NEQ,   60,   70,   90,  140, 1008,  420,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  520,  270,  330
AL, 18, 2012102618,   , BEST,   0, 270N,  772W,  65,  971, HU,  64, NEQ,    0,    0,    0,   90, 1008,  420,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  520,  270,  330
AL, 18, 2012102700,   , BEST,   0, 275N,  771W,  60,  969, TS,  34, NEQ,  450,  210,  180,  270, 1008,  450,  60,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  540,  240,  330
AL, 18, 2012102700,   , BEST,   0, 275N,  771W,  60,  969, TS,  50, NEQ,    0,    0,  120,  160, 1008,  450,  60,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  480,  540,  240,  330
AL, 18, 2012102706,   , BEST,   0, 281N,  769W,  60,  968, TS,  34, NEQ,  450,  260,  180,  280, 1008,  460,  70,  75,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  510,  600,  300,  330
AL, 18, 2012102706,   , BEST,   0, 281N,  769W,  60,  968, TS,  50, NEQ,    0,    0,  120,  160, 1008,  460,  70,  75,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  510,  600,  300,  330
AL, 18, 2012102712,   , BEST,   0, 288N,  765W,  70,  956, HU,  34, NEQ,  450,  300,  210,  280, 1008,  460,  75,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  510,  600,  300,  330
AL, 18, 2012102712,   , BEST,   0, 288N,  765W,  70,  956, HU,  50, NEQ,   30,  120,  160,  200, 1008,  460,  75,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  510,  600,  300,  330
AL, 18, 2012102712,   , BEST,   0, 288N,  765W,  70,  956, HU,  64, NEQ,    0,    0,  120,  120, 1008,  460,  75,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  510,  600,  300,  330
AL, 18, 2012102718,   , BEST,   0, 297N,  756W,  70,  960, HU,  34, NEQ,  450,  300,  240,  280, 1006,  480,  75,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  575,  600,  270,  330
AL, 18, 2012102718,   , BEST,   0, 297N,  756W,  70,  960, HU,  50, NEQ,   30,  150,  180,  200, 1006,  480,  75,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  575,  600,  270,  330
AL, 18, 2012102718,   , BEST,   0, 297N,  756W,  70,  960, HU,  64, NEQ,    0,    0,  150,  180, 1006,  480,  75,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  575,  600,  270,  330
AL, 18, 2012102800,   , BEST,   0, 305N,  747W,  65,  960, HU,  34, NEQ,  480,  300,  300,  280, 1006,  480,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  630,  360,  330
AL, 18, 2012102800,   , BEST,   0, 305N,  747W,  65,  960, HU,  50, NEQ,   30,  180,  180,  210, 1006,  480,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  630,  360,  330
AL, 18, 2012102800,   , BEST,   0, 305N,  747W,  65,  960, HU,  64, NEQ,    0,    0,  150,  180, 1006,  480,  90,  80,   0,   L,   0,    ,   0,   0,      SANDY, D, 12, NEQ,  600,  630,  360,  330
